Country/Region,Continent,TotalDeaths,TotalRecovered,TotalCases
Turks and Caicos,North America,2,39,41
Seychelles,Africa,,124,124
Monaco,Europe,4,105,109
Bhutan,Asia,,93,93
Antigua and Barbuda,North America,3,76,79
Liechtenstein,Europe,1,85,86
Belize,North America,2,31,33
French Polynesia,Australia/Oceania,,62,62
St. Vincent Grenadines,North America,,46,46
Saint Martin,North America,3,41,44
Macao,Asia,,46,46
Curaçao,North America,1,28,29
Fiji,Australia/Oceania,1,18,19
Saint Lucia,North America,,24,24
Timor-Leste,Asia,,24,24
Grenada,North America,,23,23
New Caledonia,Australia/Oceania,,22,22
Laos,Asia,,19,19
Dominica,North America,,18,18
Saint Kitts and Nevis,North America,,16,16
Greenland,North America,,14,14
Montserrat,North America,1,10,11
Caribbean Netherlands,North America,,7,7
Falkland Islands,South America,,13,13
Vatican City,Europe,,12,12
Western Sahara,Africa,1,8,9
